Work Order,Description,Work Type,Location,Asset,Owner,Unit,Status,Unit Description,PO,Reported Date,Scheduled Start,HI Value,Description Penyulang,Status Date,Priority,Originating Record,Site,Bulan,UP3,INSP,JENIS WO,PANJANG JTM,FASA,YEAR,COUNTUNIQUE of Work Order,Status,,,,,,,,,,
100031324,INSPEKSI TIER 1 BJ65042,INST1,GD01.06301308,,32730.INSPEKSI1,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_TOLO,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100031339,INSPEKSI TIER 1 BJ65048,INST1,GD01.06301314,,32730.INSPEKSI1,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_TOLO,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100031363,INSPEKSI TIER 1 BJ64001,INST1,GD01.06301394,,32730.INSPEKSI1,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_TOLO,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100031377,INSPEKSI TIER 1 BJ64002,INST1,GD01.06301395,,32730.INSPEKSI1,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_TOLO,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100031394,INSPEKSI TIER 1 BJ64024,INST1,GD01.06301417,,32730.INSPEKSI1,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_TOLO,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100031410,INSPEKSI TIER 1 BJ64042,INST1,GD01.06301435,,32730.INSPEKSI1,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_TOLO,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100031427,INSPEKSI TIER 1 BJ12058,INST1,GD01.19602613,,32730.INSPEKSI1,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_ARUNGKEKE,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100031446,INSPEKSI TIER 1 BJ09025,INST1,GD01.19602615,,32730.INSPEKSI1,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_PASAR KARISA,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100031463,INSPEKSI TIER 1 BJ12024,INST1,GD01.06300922,,32730.INSPEKSI1,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_ARUNGKEKE,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100031498,INSPEKSI TIER 1 BJ12027,INST1,GD01.06300925,,32730.INSPEKSI1,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_ARUNGKEKE,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100032176,INSPEKSI TIER 1 BK56024,INST1,GD01.06300744,,32720.INSPEKSI2,ULP.32720,WFOLLOWUP,ULP KALUMPANG,,22/07/2026,,BURUK,P_SAPOLOHE,28/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100032493,INSPEKSI TIER 1 BK56027,INST1,GD01.06300747,,32720.INSPEKSI3,ULP.32720,COMP,ULP KALUMPANG,,22/07/2026,,KURANG,P_SAPOLOHE,17/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100032645,INSPEKSI TIER 1 BK56030,INST1,GD01.06300751,,32720.INSPEKSI2,ULP.32720,COMP,ULP KALUMPANG,,22/07/2026,,KURANG,P_SAPOLOHE,28/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100032733,INSPEKSI TIER 1 BK56032,INST1,GD01.06300754,,32720.INSPEKSI2,ULP.32720,COMP,ULP KALUMPANG,,22/07/2026,,CUKUP,P_SAPOLOHE,28/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100032756,INSPEKSI TIER 1 BK56032,INST1,GD01.06300754,,32720.INSPEKSI2,ULP.32720,COMP,ULP KALUMPANG,,22/07/2026,,CUKUP,P_SAPOLOHE,28/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100032838,INSPEKSI TIER 1 BK56033,INST1,GD01.06300755,,32720.INSPEKSI2,ULP.32720,COMP,ULP KALUMPANG,,22/07/2026,,KURANG,P_SAPOLOHE,28/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100032886,INSPEKSI TIER 1 BK58690,INST1,GD01.06300787,,32720.INSPEKSI2,ULP.32720,WFOLLOWUP,ULP KALUMPANG,,22/07/2026,,BURUK,P_SAPOLOHE,28/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100033143,INSPEKSI TIER 1 BK58695,INST1,GD01.06300792,,32720.INSPEKSI2,ULP.32720,WFOLLOWUP,ULP KALUMPANG,,22/07/2026,,BURUK,P_SAPOLOHE,28/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100033372,INSPEKSI TIER 1 BK58695,INST1,GD01.06300792,,32720.INSPEKSI2,ULP.32720,WFOLLOWUP,ULP KALUMPANG,,22/07/2026,,BURUK,P_SAPOLOHE,28/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100033398,INSPEKSI TIER 1 BK58703,INST1,GD01.06300800,,32720.INSPEKSI3,ULP.32720,COMP,ULP KALUMPANG,,22/07/2026,,KURANG,P_SAPOLOHE,17/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100033525,INSPEKSI TIER 1 BK58704,INST1,GD01.06300801,,32720.INSPEKSI3,ULP.32720,COMP,ULP KALUMPANG,,22/07/2026,,KURANG,P_SAPOLOHE,17/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100034892,INSPEKSI TIER 1 BK58705,INST1,GD01.06300802,,32720.INSPEKSI3,ULP.32720,WFCOMP,ULP KALUMPANG,,22/07/2026,,KURANG,P_SAPOLOHE,27/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100034946,INSPEKSI TIER 1 BK58709,INST1,GD01.06300806,,32720.INSPEKSI3,ULP.32720,WFCOMP,ULP KALUMPANG,,22/07/2026,,KURANG,P_SAPOLOHE,27/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100035012,INSPEKSI TIER 1 BK58710,INST1,GD01.06300807,,32720.INSPEKSI3,ULP.32720,COMP,ULP KALUMPANG,,22/07/2026,,KURANG,P_SAPOLOHE,17/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100035278,INSPEKSI TIER 1 BK58711,INST1,GD01.06300808,,32720.INSPEKSI3,ULP.32720,WFCOMP,ULP KALUMPANG,,22/07/2026,,KURANG,P_SAPOLOHE,27/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100035407,INSPEKSI TIER 1 BK58712,INST1,GD01.06300809,,32720.INSPEKSI3,ULP.32720,WFCOMP,ULP KALUMPANG,,22/07/2026,,KURANG,P_SAPOLOHE,27/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
